ID,Source,Élément,Preuve,Confiance,Sévérité,Impact,Recommandation,Référence OWASP,Statut
FIND-001,Yaazhini,Clé API Google Maps hardcodée,"ApiClient.java:52 — règle Hardcoded API Key (Yaazhini section Secrets & Keys)",Forte,High,"Extraction de la clé par décompilation APK en <2min — usage frauduleux possible (coûts, accès données)","Déplacer la clé côté serveur — restreindre par SHA-1 certificat dans Google Cloud Console",MASVS-STORAGE-2,Confirmé
FIND-002,BeVigil+Yaazhini,Communication HTTP non chiffrée (5 endpoints),"AndroidManifest.xml usesCleartextTraffic=true + 5 endpoints HTTP confirmés par BeVigil (dont /v1/login)",Forte,High,"Capture des identifiants et données utilisateur sur réseau non sécurisé (Wi-Fi public) — attaque Man-in-the-Middle triviale","Supprimer usesCleartextTraffic — configurer network_security_config.xml avec cleartextTrafficPermitted=false — migrer tous les endpoints vers HTTPS",MASVS-NETWORK-1,Confirmé
FIND-003,Yaazhini,Mode debug activé en production,"AndroidManifest.xml android:debuggable=true (Yaazhini section Manifest Analysis)",Forte,High,"Débogage à distance via ADB sans root — inspection mémoire — extraction clés chiffrement — contournement contrôles sécurité","Retirer android:debuggable du manifeste — configurer debuggable false dans buildTypes.release de build.gradle",MASVS-RESILIENCE-2,Confirmé
FIND-004,Yaazhini,Backup automatique non désactivé,"AndroidManifest.xml android:allowBackup=true (Yaazhini section Manifest Analysis)",Forte,Medium,"Extraction intégralité données applicatives via adb backup sans root sur Android < 12 — SharedPreferences + DB + fichiers","Définir android:allowBackup=false — ou implémenter BackupAgent pour contrôler les données sauvegardées",MASVS-STORAGE-1,Confirmé
FIND-005,Yaazhini,Permissions dangereuses excessives (READ_SMS + READ_CONTACTS),"AndroidManifest.xml — 7 permissions dangereuses dont READ_SMS et READ_CONTACTS sans justification fonctionnelle (Yaazhini section Permissions)",Forte,Medium,"Surface d'attaque élargie — violation principe moindre privilège — accès SMS et contacts en cas de compromission app","Supprimer READ_SMS et READ_CONTACTS — justifier chaque permission dangereuse — appliquer principe moindre privilège",MASVS-PLATFORM-1,Confirmé
FIND-006,Yaazhini,LoginActivity exportée sans permission,"AndroidManifest.xml <activity android:name=.LoginActivity android:exported=true /> sans android:permission (Yaazhini section Exported Components)",Forte,High,"Invocation malveillante par application tierce — phishing overlay — exploitation directe de vulnérabilités de l'écran de connexion","Définir android:exported=false — ou ajouter android:permission avec niveau signature si deep links requis",MASVS-PLATFORM-2,Confirmé
FIND-007,Yaazhini,Token JWT hardcodé dans strings.xml,"res/values/strings.xml attribut secret_token — règle Hardcoded JWT Token (Yaazhini section Secrets & Keys)",Forte,High,"Authentification frauduleuse aux APIs backend si token valide côté serveur — fenêtre d'exploitation liée à l'expiration du token","Supprimer immédiatement — révoquer côté serveur — tokens générés dynamiquement uniquement — jamais stockés statiquement",MASVS-STORAGE-2,Confirmé
FIND-008,Yaazhini,LeakCanary intégré en production,"lib/arm64-v8a/libLeakCanary.so présent dans APK release (Yaazhini section Binary Analysis)",Forte,Low,"Code de debug en production — surface d'attaque élargie — traces mémoire potentiellement exposées","Utiliser debugImplementation uniquement dans build.gradle — jamais implementation pour outils de debug",MASVS-CODE-2,Confirmé
FIND-009,BeVigil,Environnement de développement exposé publiquement,"dev.eduvulnapp.example.com — endpoint http://dev.eduvulnapp.example.com/debug/logs identifié par BeVigil",Forte,High,"Journaux système potentiellement accessibles publiquement — données utilisateur / traces / infrastructure exposées","Désactiver ou restreindre l'accès réseau à l'environnement dev — ne jamais exposer un env de dev sur Internet",MASVS-NETWORK-2,Confirmé
FIND-010,BeVigil,Email de développeur stagiaire exposé dans le code,"dev-intern@eduvulnapp.example.com détecté dans le code source par BeVigil",Moyenne,Low,"Ingénierie sociale ciblée — tentative de phishing — potentiel compte email temporaire non révoqué","Retirer tous les emails de développeurs du code de production — utiliser des adresses génériques si contact nécessaire",MASVS-CODE-1,À confirmer
FIND-011,BeVigil,Firebase Analytics sans documentation de collecte,"SDK Firebase Analytics v21.0.0 détecté par BeVigil — transmission vers google-analytics.com/collect",Moyenne,Medium,"Non-conformité RGPD potentielle si collecte sans consentement explicite — transfert données vers serveurs Google","Vérifier implémentation du consentement RGPD — documenter les données collectées — activer anonymisation IP",MASVS-PRIVACY-1,À confirmer
FIND-012,BeVigil,Infrastructure legacy potentiellement non maintenue,"legacy.eduvulnapp.example.com actif selon BeVigil — endpoint HTTP /sync identifié",Faible,Low,"Surface d'attaque résiduelle si infrastructure legacy vulnérable — mise à jour sécurité potentiellement absente","Auditer l'état de l'infrastructure legacy — désactiver ou migrer les endpoints obsolètes",MASVS-NETWORK-1,À confirmer
